time,frequency,confidence
3.1200000000,158.4124189703,0.9223346114
3.1300000000,160.4685850508,0.9057766795
3.1400000000,161.8200557701,0.9201431274
3.1500000000,163.2035222635,0.9242084622
3.1600000000,164.6384406661,0.9419492483
3.1700000000,165.8942660892,0.9473802447
3.1800000000,167.6851639518,0.9286826849
3.1900000000,169.6211105653,0.9061844349
3.2000000000,171.3207894746,0.9329276085
3.2100000000,173.0560871361,0.9341529012
3.2200000000,174.6396300465,0.9420765638
3.2300000000,176.5549443829,0.9140004516
3.2400000000,179.5729889874,0.9108290076
3.2500000000,183.3274278030,0.9290412068
3.2600000000,185.2242430556,0.9472817779
3.2700000000,186.5299265169,0.9218766689
3.2800000000,188.2240534574,0.9255188704
3.2900000000,190.0640115769,0.9298530817
3.3000000000,192.0200631944,0.9306948185
3.3100000000,194.0346090703,0.9314390421
3.3200000000,196.0108875241,0.9095235467
3.3300000000,199.2660713437,0.8275383115
3.3400000000,205.7780380276,0.8398047686
3.3500000000,209.3231520467,0.9038355350
3.3600000000,212.8961559717,0.9464744329
3.3700000000,216.4301416803,0.9326639771
3.3800000000,218.7152668047,0.9479497075
3.3900000000,220.2860557985,0.9658724666
3.4000000000,221.5812644565,0.9523954391
3.4100000000,223.2106019697,0.9583131671
3.4200000000,225.2657445364,0.9302600622
3.4300000000,228.5355638582,0.8625989556
3.4400000000,234.9031161570,0.8144218326
3.4500000000,240.2064356739,0.7711901665
3.4600000000,246.4970853443,0.8397775888
3.4700000000,247.8958905905,0.9227861762
3.4800000000,247.9795300738,0.9076728821
3.4900000000,247.8626360020,0.8820816278
3.5000000000,247.5158057848,0.8154501319
3.5100000000,246.4717099303,0.6284104586
3.5200000000,245.8358916905,0.4877903163
3.5300000000,243.3026128029,0.3978829384
3.5400000000,243.3922844963,0.4568729699
3.5500000000,244.3373272915,0.1214380637
3.5600000000,250.1218488613,0.1872022897
3.5700000000,253.1242456760,0.2142269164
3.5800000000,252.6721969937,0.1272283494
3.5900000000,227.6061120644,0.0924090594
3.6000000000,217.7871928523,0.0943261832
3.6100000000,199.8804461805,0.0586553663
3.6200000000,180.8774877313,0.0738471076
3.6300000000,167.1579533375,0.0558811873
3.6400000000,154.8350061826,0.0765270591
3.6500000000,155.5408706886,0.0731471553
3.6600000000,156.3510876466,0.0946593136
3.6700000000,155.9170601633,0.1163187772
